LastName,FirstName,Recall,PositiveRating,PerfRatio,Impact
Clark,John,0.7434841578,0.6961565136,7.21,52
Oberlander,Julie,0.7633333333,0.519650655,2.09,40
Caudill,Jack,0.64,0.5572916667,2.1,36
Nicolaisen,Taylor,0.56,0.4642857143,1.81,26
Elise,Lauren,0.3730964467,0.693877551,5.67,26
Hill,Ben,0.3401015228,0.5597014925,2.88,19
Papay,Nicole,0.4517766497,0.6573033708,7.8,30
Watson,Diana,0.5548686244,0.6573816156,5.76,36
Alcorn,Cody,0.4018547141,0.6,3.63,24
Kent,Kendra,0.5625965997,0.6895604396,8.1,39
Callahan,Concetta,0.4730034974,0.5542637942,3.36,26
George,Jeff,0.4214413044,0.4312103938,1.57,18
Garcia,Alex,0.6750826505,0.6141861379,4.9,41
Valdes,Michael,0.6095236592,0.5565760038,3.08,34
Lee,Cynthia,0.4827382283,0.6046137846,5.35,29
Stevens,Shaun,0.3672100339,0.6581132791,4.75,24
Hubbard,Jeremy,0.5538461538,0.3777777778,2.06,21
Byrd,Emily ,0.6440677966,0.75,7.6,48
Nordeen,Katie,0.5954198473,0.6111111111,4.93,36
Farmer,Cindy,0.8093220339,0.6910994764,5.08,56
Jones,Brad,0.7288135593,0.6976744186,4.8,51
Charles,Kerry,0.5466101695,0.5503875969,2.54,30
Grant,Julie,0.4279661017,0.495049505,2.94,21
McNeill,Neill,0.8193384224,0.7236024845,8.32,59
Denton,Van,0.809178744,0.7611940299,7.97,62
Haener,Julie ,0.7715133531,0.6692307692,7.57,52
Mikaelian,Gasia ,0.6735905045,0.6387665198,6.59,43
Benemann,Jim,0.7538461538,0.5306122449,2.95,40
Leigh,Karen,0.4892307692,0.4842767296,2.66,24
Davis,Barry,0.3995677818,0.5862405346,2.85,23
Forgany,Sarah,0.5809245446,0.6071381631,3.27,35
Grace,Karen ,0.6323335433,0.4765007978,1.94,30
Knapp,Deborah ,0.6855353064,0.6094353632,3.69,42
Lucero,Sarah ,0.7223559133,0.582216375,3.5,42
Silverman,Jared ,0.4617023142,0.621566328,5.16,29
Taylor,Bill ,0.7513402854,0.6975214224,6.93,52
Vinzetta,Vinnie,0.2053899905,0.5391830039,2.33,11
Garcia,Mat,0.5813608752,0.4916157662,2.37,29
Saar,Danielle,0.3379418972,0.5330919497,2.1,18
Mireles,Paul,0.7029497043,0.6879100117,4.79,48
Goldblatt,Jeff,0.4561489968,0.5161462647,3.1,24
Willson,Stacia,0.3940014789,0.5506084236,2.39,22
Moreno,Mayra,0.3700084927,0.5465073919,4.07,20
Anaya,Phil,0.2744720378,0.4880465402,1.94,13
Crawford,Amanda,0.4236111111,0.6010928962,5.24,25
Fry,Melissa,0.7083333333,0.6535947712,7.69,46
Gravlin,Kyle,0.3472222222,0.62,5.47,22
Hoffman,Alex,0.6196581197,0.5862068966,5,36
Maskel,Jeremy,0.5462962963,0.5169491525,3.3,28
McCarthy,Holly,0.7662037037,0.6102719033,5.61,47
McCartney,Rob ,0.8703703704,0.7579787234,11.88,66
Oakey,John ,0.764957265,0.7206703911,7.17,55
Randby,Bill ,0.8865740741,0.819843342,15.7,73
Serwe,Matt,0.5726495726,0.6119402985,4.56,35
Whitsett,Adrian,0.6412037037,0.6064981949,4.31,39
Devera,Jobeth,0.4230769231,0.5151515152,3.4,22
Petersen,Brandi,0.8449074074,0.6931506849,7.91,59
Earl,David,0.2569444444,0.5855855856,4.06,15
Alexander,Meg,0.6730769833,0.4792882729,2,32
Morgan,Mike ,0.8680484561,0.6318975087,3.45,55
Ogle,Kent ,0.7862107949,0.6653551313,4.91,52
West,Lance,0.7518142295,0.6156903037,5.3,46
Meyer,Ali,0.7155298268,0.66793832,6.18,48
Alworth,Brian,0.6381554762,0.7661934768,12.34,49
Burns,Jim,0.7442335513,0.7582359697,7.51,56
Cunningham,Jeff,0.7413925281,0.7025675263,8.53,52
Maloney,Mary-Ann,0.7399630491,0.7049725536,12.45,52
Sweeney,Kathy,0.643940532,0.6959392639,7.32,45
Wibbenmeyer,Laura,0.6777669219,0.6606909788,7.65,45
Dade,Grant,0.4505033542,0.6270932866,5.07,28
Britt,Crystal,0.5244625717,0.6787363895,8.67,36
Lair,Mollie,0.3181809958,0.603985998,11.03,19
McCormick,Bryan,0.3732297353,0.6284355644,6.95,23
Daetz,Ama,0.3234421365,0.5779816514,5.73,19
Jennings,Cheryl ,0.6706231454,0.5663716814,4.13,38
Johnson,Carolyn ,0.6231454006,0.619047619,8.67,39
Sze,Kristen ,0.6676557864,0.52,4.33,35
Inger,Stella,0.4016913482,0.5563150019,2.93,22
Atchley,Guy ,0.8822841571,0.6627336262,3.94,58
Madison,April,0.6217092139,0.6762585463,3.92,42
Hautala,Corinne,0.3812222179,0.64801909,6.82,25
Gurule’,Greg,0.3509310821,0.5168564368,2.59,18
Paul,David ,0.5858778626,0.674267101,5.05,40
Cannon,Len ,0.6488549618,0.5676470588,3.39,37
Hernandez,Lisa,0.6374045802,0.6077844311,4.83,39
Hurst,Greg,0.7270992366,0.56167979,3.82,41
Ramaker,Cale ,0.4812721481,0.5136207622,3.15,25
Jelniker,Mitch,0.6184615385,0.3482587065,1.59,22
Trujillo,Anne,0.8246153846,0.5447761194,4.17,45
Landess,Mike,0.7446153846,0.4917355372,3.4,37
Brink,Deanne,0.4401709402,0.4951456311,2.13,22
Griswold,Jennifer,0.3842592593,0.5481927711,6.07,21
McPike,Ryan ,0.6666666667,0.6346153846,5.82,42
Monroe,Matt,0.2685185185,0.4827586207,2.07,13
Nigrelli,Craig,0.5625,0.4691358025,2.24,26
Pazera,Justin,0.1574074074,0.5147058824,2.33,8
Walsh,John,0.2800925926,0.3884297521,1.68,11
Matthews,Meghan,0.2268518519,0.4795918367,2.94,11
Flowers,Jim,0.8865740741,0.5953002611,3.04,53
Olson,Shad,0.7233333333,0.4700460829,1.79,34
Riggio,Bob,0.63,0.5555555556,2.5,35
Aguirre,Jessica ,0.765578635,0.5852713178,5.59,45
Wang,Janelle ,0.5103857567,0.5755813953,3.81,29
Edwards,Wendell,0.5935912852,0.5210264464,2.39,31
Folger,Paul,0.6086624692,0.5452319112,2.89,33
Schambach,Jessica ,0.7925202997,0.5765617547,4.45,46
Thomas,Dan ,0.3152466038,0.540624098,2.32,17
Sowder,Brad,0.4093899315,0.5265466399,2.7,22
Ogle,Abigail,0.4950752194,0.4605816589,1.65,23
Chesky,Morgan,0.3914596159,0.5296479087,2.62,21
Reshef,Erielle,0.3546686936,0.6988488358,7.32,25
Lane,Damon,0.5925295736,0.6351188718,5.91,38
Dozier,Danielle,0.4319801846,0.5190720484,3.03,22
Conder,Jonathan,0.4186005238,0.4909536889,3.12,21
Sutton,Emily,0.8028590825,0.717291253,7.3,58
Jordan,Erin ,0.7360433393,0.7743170935,14.76,57
Jun,Teresa,0.6984821238,0.6390375091,5.92,45
Marries,Dan ,0.7270569769,0.6970867945,7.93,51
Rowe,Heather ,0.7830523892,0.6557828644,5.29,51
Stine,Mark,0.589514821,0.7020721173,5.91,41
Thomas,Craig,0.4037043904,0.5021895132,2.97,20
Kielman,Jennifer,0.2136860114,0.5139980962,2.75,11
Evans,Rob ,0.5010222992,0.4835992688,1.91,24
Oliver,David ,0.5940729737,0.5650941392,3.41,34
Smith,Chris,0.2043883436,0.5658360287,3.96,12
Warriner,Jamie,0.3236917373,0.5057481134,3.26,16
Lucy,Dan,0.6144054273,0.5401383533,2.44,33
Rice,Megan,0.1666511166,0.493350335,2.01,8
Miller,Shannon,0.5141519508,0.4813504448,2.24,25
Day,Lindsey,0.2005451775,0.4868197448,2.26,10
Trtan,Tom,0.6979679174,0.627180877,5.03,44
Duhamel,Helene,0.8166666667,0.5183673469,1.81,42
Gardner,Eric,0.7466666667,0.4464285714,1.54,33
Garcia,Alicia,0.74,0.536036036,3.22,40
Urban,Katy,0.4233333333,0.3385826772,1.1,14
Modrick,Mike,0.8266666667,0.5524193548,2.14,46
Cook,Elizabeth,0.3946587537,0.5488721805,4.56,22
Griego,Michelle,0.2848664688,0.5,4.36,14
Balleza,Bill ,0.8740458015,0.6593886463,5.39,58
Sachse,Dominique ,0.8320610687,0.6536697248,4.45,54
Billingsley,Frank,0.7977099237,0.7009569378,5.98,56
Read,Bill,0.2366412214,0.5322580645,2.54,13
Moore,Pam ,0.7744807122,0.6130268199,5.33,47
Austin,Mark ,0.6482786062,0.6682474749,4.67,43
Browne,Steve ,0.7784849787,0.7230745982,5.24,56
Dart,Detective Robert,0.519506087,0.6071718782,2.79,32
Mouton,Leslie ,0.6656459377,0.7003103566,8,47
Pari,Ursula ,0.7031082516,0.6558722411,5.67,46
Ramirez,Larry ,0.4456155317,0.6117820404,4.41,27
Spriester,Steve ,0.6686216164,0.6770818595,5.66,45
Romero,Isis ,0.6761071619,0.6063467988,4.43,41
Osterhage,Mike,0.6698556224,0.7299869259,5.14,49
Sears,David,0.6316531845,0.5890034262,4.08,37
Gonzalez,Charles,0.5357937044,0.5279053579,3.15,28
Gonzales,Eileen,0.3764165351,0.5553805462,3.88,21
Arthur,Mrya,0.3185073605,0.6079301778,4.58,19
Horne,Justin,0.4168952984,0.6044095092,4.41,25
Wagner,Dana,0.7459382148,0.5601055932,2.73,42
Wagner,Kim,0.7978095842,0.4972554272,2.07,40
Hawley,Tom,0.643455512,0.541706483,3.81,35
Jacob,Jerry ,0.6527767094,0.7082674667,6.98,46
Keeton,Hugh,0.18087281,0.3710566022,1.14,7
Lighty,Kevin ,0.4192061501,0.5722683674,4.41,24
Matter,Lauren,0.2944035874,0.4874255194,2.11,14
Moody,Leigh,0.4990534909,0.5289152309,2.46,26
Scott,Mike,0.187670579,0.4161110341,1.61,8
Older,Bobby,0.0696738527,0.2995837252,0.72,2
Pettit,Melody,0.2157956955,0.4583930593,2.47,10
Hooper,Adam,0.1994927008,0.3987634177,1.86,8
Trihy,Bob,0.1602733184,0.604780958,3.14,10
Slater,Lindsey,0.2341758257,0.5133897266,2.99,12
Smith,Casey,0.5626993111,0.5338869939,2.42,30
