,Recall,PositiveRating,PerfRatio,Impact,Asian,Black,White,5_o_Clock_Shadow,Bald,Bangs,Blond_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,Male,Mustache,No_Beard,Sideburns,Wearing_Hat,Wearing_Lipstick,Wearing_Necktie,Young,top,right,bottom,left,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant,NewsID,Market % of US,% Af-Am,% Hispanic,% Asian
A.J. Fox KSEE,0.6784142116,0.5585118912,3.71,38,-9.3323324169855,-7.53452517166389,5.75295732812247,-4.28352810485539,-5.090088444032,-10.9850352088209,-5.94715007334885,-10.0327725978476,-1.60991824662709,-1.2422179164247,-10.8056414667945,-7.2810259331469,-5.15857450390706,-9.18232098646226,6.85784724036345,-7.83975767737418,4.68033988621853,-8.58037486866652,-8.81438682700043,-8.07426255099055,-1.4839608554918,-0.35628678974098,36,262,222,77,-0.40080498909458,0.04224756151134,0.181653200936676,-0.128193015316882,0.021817229363945,0.166957651080941,-0.01977947978076,-0.26160723959005,-0.104895681607342,-0.091469074252876,-0.081773775856414,0.118190201163758,-0.191227023313617,0.055545101551395,1,0.50%,4.72%,46.18%,6.21%
Aaron Boll KSPR,0.17,0.5,2.41,9,-1.31457344439123,-6.12099359033154,-1.74813990197131,-4.3826952615229,-6.4072238494538,-4.40480750580151,-6.51546076229751,0.128049280547705,-0.813830382465774,-1.43627465345512,-5.12049502667652,-9.95058036941048,-3.67239124073853,-5.76536519567474,2.48813940714124,-10.8951112638333,6.25728843861676,-10.3826728616499,-2.48025179926404,-5.80046079969934,-0.838731259283846,0.143138266729126,36,262,222,77,-0.199137834887189,-0.111693623388151,0.183032393876097,-0.119080096578606,-0.014868404824462,0.034899194855802,-0.013689438027839,-0.09388989429873,-0.019589612289308,-0.004881940148178,-0.00313308284976,0.044907250738377,-0.0432875947661,-0.064510919565289,1,0.36%,6.75%,6.57%,1.80%
Aaron Brackett KGUN,0.42,0.5,3.22,21,-6.1745535651257,-7.381959550918,3.26229126360876,-1.88399253139947,-2.29916132910906,-7.64700124722884,-3.68037655278407,-2.15564375843706,-5.07270148221839,-4.4980034157845,-8.79391156736288,-6.76469287281797,-6.04476219878872,-7.45063359402676,4.14450287195078,-9.2522279320122,2.96259725933088,-7.40508748106772,-5.71167503793675,-6.64785810847518,-2.20757131927752,2.8294329143077,36,262,222,77,-0.230894441204501,-0.076900622692188,0.21211103150193,-0.118145502519897,0.065631197521602,0.153045425003905,-0.075425897719278,-0.095875784266523,0.030593670775343,0.064196463361441,0.062255362850948,-0.034494918655544,-0.163151567188168,-0.061900841944374,1,0.38%,1.07%,2.99%,1.38%
Aaron Gilchrist WRC,0.6571428571,0.6913043478,8.83,45,-7.935591005839,2.5650911545403,-5.92822568197193,-2.85423633036968,-3.12400486740063,-10.3220154443126,-9.08014912047699,-4.20285053377518,-1.52223356438344,-2.50641060552973,-6.16585798244984,-3.97828741695364,-6.55892595014424,-7.95349601835896,4.54450920941585,-5.09968110320627,1.39518003051968,-5.87460399241625,-2.37929798853787,-7.72441797805917,-1.45507839096836,1.59241365087237,36,262,222,77,0.15627825620819,0.148238742558813,-0.13754147940864,0.046137134799783,0.135230458442142,0.184339450481089,0.069402402819798,-0.03024417960335,0.014483609976066,0.067304430342219,0.01046762851072,0.254166689878602,-0.013623072478853,0.199985962024448,2,2.12%,24.75%,9.71%,8.04%
Aaron Perlman KBAK_KBFX,0.7823813944,0.5966447153,2.85,47,-9.78584095697931,-3.4172352671419,4.02877329503599,-2.76166475780251,-1.57174154737203,-6.8595755510237,-1.19298135635407,-5.80772682450442,-3.93230184760807,-3.90269438218826,-9.43663358007892,-5.34694105664384,-2.59886134877074,-5.93690346578796,2.76155871912788,-7.24461001002248,3.50769143278096,-7.19747704942289,-6.04371206393298,-5.20019036599637,-1.77842757762739,2.29756559709981,36,262,222,77,-0.073740787616145,0.087190684215762,-0.242587390001874,0.05201976455823,0.008879533729869,0.126412945584256,0.005602800262369,0.031069374816366,-0.011556114748466,-0.051934608993644,-0.022258655702662,0.161255942077217,-0.052454306547952,0.083904010326576,1,0.20%,37.47%,4.52%,1.88%
Aaron Pickering KOLD,0.54,0.61,4.35,33,-8.72952782086366,-8.98931443880665,6.0099455515046,-3.1706527230959,-3.68380440779585,-6.51358017811235,-3.98662211916328,-8.39654512418012,-1.8132047079892,-1.67187386954775,-5.2050514536109,-6.79134693267512,-1.82563013833255,-9.74179141653208,7.01555216828332,-7.74299948157372,4.15619774674858,-7.53913991301925,-4.69534183819215,-8.76487500989308,-0.8221027608887,-1.31586276739794,36,262,222,77,-0.08211841766029,0.012251633272359,0.074398230409513,-0.099042982519911,0.084753915710214,0.129536526292444,0.015438236285181,-0.140662782285124,0.025903978436112,-0.020569470469438,0.039112191778598,0.010724334975281,-0.092263817551665,0.001023874104504,1,0.38%,1.07%,2.99%,1.38%
Abby Dyer KY3,0.62087829,0.712518198,9.06,44,-11.7268183513544,-7.84207446586864,5.66103041786702,-8.92832836726673,-12.8539269298372,-2.98390219143721,-0.311112389968605,-8.25542150617534,-6.54465150886249,-6.45181512697151,-6.304950263707,-12.0368656188676,-8.71941883023393,-2.32749748246664,-4.64909503997498,-11.0338195739211,6.89459743042622,-10.2358007655044,-3.79960423089457,-1.57970051630656,-8.28572819033392,1.58939117347889,19,266,242,43,-0.252012596423179,-0.150574325770942,0.237634948395454,-0.10438889236244,0.14788390544396,0.300080345090219,0.027364365588123,-0.026183437629808,0.097777482947518,-0.019193192366458,0.147077164696583,0.006316918010748,-0.167503036890697,-0.111197308920157,1,0.36%,6.75%,6.57%,1.80%
Abby Eden WDAF,0.37,0.54,2.72,20,-4.65448864290244,-3.57920793507136,2.2442313906302,-10.2702299719837,-8.7987319735604,-6.2663991139607,-0.196687855301558,-6.06288517320929,-6.72896146492302,-6.65966908459742,-8.7864650612007,-12.3187914726173,-5.77138280809569,-0.714266237091619,-7.76160009665924,-12.8394986681413,10.0306299965341,-11.0177747100721,-4.99937828666585,0.541647653763753,-8.28118248985049,3.2005065453733,36,262,222,77,-0.160902821113229,-0.035618666799799,0.099109467462335,-0.063412845253483,0.229733644256292,0.287749828929115,0.068597500631054,-0.103110750060144,0.145142487746381,0.060962616713355,0.106710927586169,0.072045208756517,-0.182505126228985,-0.034877345532816,2,0.81%,11.68%,5.70%,2.18%
Abigail Ogle KOCO,0.4950752194,0.4605816589,1.65,23,-6.15848440301211,-6.51075234253619,2.44570255641378,-11.5918586401417,-11.2828464813239,-1.66332204339924,2.13809059714688,-6.70022030982279,-6.49152710960632,-7.54185853049975,-11.6031949067076,-13.3884532240961,-4.48896983462384,1.72211205717767,-8.2001760675419,-14.8980098770127,8.48126112912982,-12.0652913637981,-4.60449175695056,2.19115819739764,-11.6667961439615,3.12383898796156,19,266,242,43,0.006843750251341,-0.006780902195063,0.181695730512545,-0.293929950349867,-0.024873566730465,0.104854181232536,-0.058825144950908,-0.175115021006634,-0.065479731578761,-0.021389082191795,-0.077887289060496,-0.034783052577028,-0.185183324565953,0.096288097764394,2,0.63%,8.72%,7.75%,2.21%
Adam Berg WTVJ,0.23230877,0.6474384166,6.67,15,-3.31276284141774,-3.49899632600785,0.784753970522714,-12.9747078651693,-15.1190459824641,-7.58627308563409,-1.98235346741593,-2.78124484435653,-7.01986803705614,-5.75261056311035,-14.7124746866337,-16.0537844776209,-8.55935915465736,0.989023098830247,-9.03587399624836,-16.6547810321941,10.6835359793401,-13.5481896371797,-7.18412496002131,1.68383691625386,-10.2375683658387,5.37948831504844,36,262,222,77,-0.265433107317827,-0.442091419535148,0.424258097369798,-0.24169995446111,-0.01242516885717,0.093894778045295,0.021145840790684,0.019432209945217,0.154393019272148,0.211574216299799,0.123614664966576,-0.154317233314395,-0.105170933128396,-0.271660495783162,1,1.43%,20.42%,44.83%,2.65%
