,Recall,PositiveRating,PerfRatio,Impact
01353-WDAF-Loren_Halifax.png.jpg,0.74,0.7,4.59,52
01354-WDAF-Susan_Hiland.png.jpg,0.66,0.48,2.26,32
01355-WDAF-John_Holt.png.jpg,0.81,0.59,3.47,48
01356-WDAF-Karli_Ritter.png.jpg,0.65,0.63,5.89,41
01357-WDAF-Mike_Thompson.png.jpg,0.85,0.64,5.51,54
01358-WDAF-Phil_Witt.png.jpg,0.79,0.62,4.22,49
01359-WDIV-Andrew_Humphrey.png.jpg,0.69,0.68,7.69,47
01360-WESH-Syan_Rhodes.png.jpg,0.5,0.6,4.1,30
01361-WFLD-Robin_Robinson.png.jpg,0.7,0.67,8.07,47
01362-WFLD-Bob_Sirott.png.jpg,0.58,0.54,4.08,31
01363-WFLD-Sondra_Solarte.png.jpg,0.37,0.68,10,25
01364-WFOR-David_Bernard.png.jpg,0.496829,0.676947,6.63,34
01365-WFOR-Lissette_Gonzales.png.jpg,0.546795,0.71328,7.13,39
01366-WFOR-Shannon_Hori.png.jpg,0.572884,0.634003,6.33,36
01367-WFOR-Antonio_Mora.png.jpg,0.501774,0.605224,4.13,30
01368-WFTV-Jamie_Holmes.png.jpg,0.4,0.57,3.46,23
01369-WFTV-Brian_Shields.png.jpg,0.48,0.67,6.04,32
01370-WFTX-Jim_Syoen.png.jpg,0.65,0.62,4.21,40
01371-WFXT-Cindy_Fitzgibbon.png.jpg,0.54,0.7,7.05,38
01372-WFXT-Gene_Lavanchy.png.jpg,0.69,0.53,2.88,37
01373-WFXT-Kevin_Lemanowicz.png.jpg,0.58,0.57,3.86,33
01374-WFXT-Shannon_Mulaire.png.jpg,0.4,0.47,2.26,19
01375-WGN-Lourdes_Duarte.png.jpg,0.33,0.59,8,19
01377-WGN-Paul_Konrad.png.jpg,0.59,0.71,7.56,42
01379-WGN-Mark_Suppelsa.png.jpg,0.71,0.71,11,50
01382-WHBQ-Darrell_Greene.png.jpg,0.4,0.53,2.67,21
01384-WHBQ-Joey_Sulipeck.png.jpg,0.73,0.65,5.29,47
01386-WHDH-Anne_Allred.png.jpg,0.48,0.6,3.37,29
01387-WHDH-Pete_Bouchard.png.jpg,0.68,0.62,5.8,42
01388-WHDH-Dylan_Dreyer.png.jpg,0.6,0.65,6.04,39
01389-WHDH-Adam_Williams.png.jpg,0.5,0.48,2.81,24
01390-WINK-Stacey_Adams.png.jpg,0.71,0.65,6.38,46
01391-WINK-Chris_Cifatte.png.jpg,0.72,0.67,5.2,48
01392-WINK-Jim_Farrell.png.jpg,0.84,0.77,8.67,65
01393-WINK-Kyle_Jordan.png.jpg,0.41,0.54,3.31,22
01395-WINK-Rob_Spicker.png.jpg,0.48,0.54,3.38,26
01396-WINK-Jennifer_Stacy.png.jpg,0.57,0.51,2.72,29
01397-WINK-Lois_Thome.png.jpg,0.77,0.64,4.91,49
01399-WISH-Steve_Bray.png.jpg,0.51,0.52,3.26,27
01400-WISH-Angela_Buchman.png.jpg,0.83,0.71,6.89,59
01401-WISH-Debby_Knox.png.jpg,0.85,0.61,4.75,52
01402-WISH-Lauren_Lowrey.png.jpg,0.26,0.44,1.72,11
01403-WISH-Randy_Ollis.png.jpg,0.73,0.67,6.36,49
01404-WISH-Scott_Sander.png.jpg,0.58,0.47,2.53,27
01405-WJW-Scott_Sabol.png.jpg,0.68,0.72,8.67,49
01406-WKRC-Liz_Bonis.png.jpg,0.5459,0.4513,1.42,25
01407-WKRC-Rob_Braun.png.jpg,0.9,0.62,4.86,56
01410-WKRN-Samantha_Fisher.png.jpg,0.3882352941,0.4909090909,2.31,19
01412-WKRN-Bob_Mueller.png.jpg,0.8329411765,0.5536723164,2.76,46
01413-WKRN-Lisa_Patton.png.jpg,0.7552941176,0.6542056075,4.77,49
01414-WKYC-Hollie_Strano.png.jpg,0.71,0.7,8.08,50
01415-WLS-Ravi_Baichwal.png.jpg,0.56,0.57,5.61,32
01416-WLS-Kathy_Brock.png.jpg,0.68,0.64,8.07,44
01417-WLS-Cheryl_Burton.png.jpg,0.71,0.65,10.45,46
01418-WLS-Judy_Hsu.png.jpg,0.62,0.65,7.65,40
01419-WLS-Karen_Jordan.png.jpg,0.52,0.6,7,31
01420-WLS-Alan_Krashesky.png.jpg,0.71,0.7,9.88,50
01421-WLS-Ron_Magers.png.jpg,0.82,0.78,19.94,64
01422-WLS-Sylvia_Perez.png.jpg,0.63,0.59,7.4,37
01423-WLS-Jerry_Taft.png.jpg,0.77,0.67,4.96,52
01424-WLS-Roz_Varon.png.jpg,0.56,0.71,7.11,40
01425-WLS-Linda_Yu.png.jpg,0.74,0.68,10.04,50
01426-WLWT-Mike_Dardis.png.jpg,0.12,0.41,1.4,5
01427-WLWT-Sheree_Paolello.png.jpg,0.7,0.49,2.69,34
01428-WLWT-Kevin_Robinson.png.jpg,0.55,0.51,2.48,28
01429-WMAQ-Marion_Brooks.png.jpg,0.51,0.53,7,27
01430-WMAQ-Rob_Elgas.png.jpg,0.46,0.58,5.73,27
01431-WMAQ-Matt_Rodewald.png.jpg,0.26,0.72,12,19
01432-WMAQ-Alison_Rosati.png.jpg,0.69,0.64,9.21,44
01433-WMAQ-Rob_Stafford.png.jpg,0.43,0.5,7.71,22
01434-WMAQ-Kim_Vatis.png.jpg,0.41,0.66,7.33,27
01435-WMC-Dave_Brown.png.jpg,0.91,0.8,11.76,73
01436-WMC-John_Bryant.png.jpg,0.56,0.59,4.71,33
01437-WMC-Ron_Childers.png.jpg,0.81,0.69,6.61,56
01438-WMC-Jarvis_Greer.png.jpg,0.82,0.6,3.23,49
01439-WMC-Justin_Hanson.png.jpg,0.55,0.52,2.39,29
01440-WMC-Ursula_Madden.png.jpg,0.75,0.67,7.83,50
01442-WMC-Andy_Wise.png.jpg,0.88,0.7,6.57,62
01443-WMC-Joe_Birch.png.jpg,0.85,0.75,10,64
01444-WNBC-Janice_Huff.png.jpg,0.7,0.67,8.11,47
01445-WNBC-Chuck_Scarborough.png.jpg,0.81,0.63,5.79,51
01446-WNBC-Sue_Simmons.png.jpg,0.81,0.57,3.03,46
01447-WNYW-Dari_Alexander.png.jpg,0.42,0.46,2.08,19
01448-WNYW-Ernie_Anastos.png.jpg,0.8,0.59,3.55,47
01449-WNYW-Nick_Gregory.png.jpg,0.64,0.65,4.64,42
01450-WNYW-Steve_Lacy.png.jpg,0.28,0.54,2.96,15
01453-WOAI-Don_Harris.png.jpg,0.65,0.58,3.47,38
01454-WOAI-Delaine_Mathieu.png.jpg,0.52,0.63,4.07,33
01456-WOAI-Elsa_Ramon.png.jpg,0.6,0.66,5.58,40
01457-WOIO-Jason_Handman.png.jpg,0.26,0.55,3.75,14
01458-WOIO-Jenn_Harcher.png.jpg,0.31,0.42,2.55,13
01459-WPBF-Victor_Blackwell.png.jpg,0.55,0.63,4.26,35
01462-WPIX-Frances_Rivera.png.jpg,0.26,0.59,3.24,15
01463-WPIX-Craig_Treadway.png.jpg,0.34,0.57,2.69,19
01464-WPLG-Jason_Martinez.png.jpg,0.583635,0.715711,9.12,42
01465-WPLG-Scott_Padgett.png.jpg,0.615209,0.738997,10.16,45
01466-WPTY-Rodney_Dunigan.png.jpg,0.27,0.5,2.24,14
01467-WPTY-Joyce_Peterson.png.jpg,0.56,0.58,4.29,32
01468-WPTY-Mark_Walden.png.jpg,0.68,0.57,2.81,39
01469-WRAL-David_Crabtree.png.jpg,0.86,0.74,13.19,64
01470-WRAL-Debra_Morgan.png.jpg,0.87,0.75,14.04,65
01471-WRAL-Gerald_Owens.png.jpg,0.9,0.71,14.41,64
01472-WREG-Claudia_Barr.png.jpg,0.87,0.71,6.98,62
01474-WREG-Richard_Ransom.png.jpg,0.7,0.7,6.46,49
01475-WREG-Jim_Jaggers.png.jpg,0.85,0.71,8.94,60
01476-WREG-Tim_Simpson.png.jpg,0.73,0.67,6.84,49
01477-WRTV-Todd_Connor.png.jpg,0.34,0.46,2.65,16
01478-WRTV-Ericka_Flye.png.jpg,0.65,0.4,1.52,26
01479-WRTV-Kevin_Gregory.png.jpg,0.77,0.65,7.49,50
01480-WRTV-Todd_Klaassen.png.jpg,0.34,0.45,2.28,15
01481-WRTV-Jenna_Kooi.png.jpg,0.23,0.44,2.1,10
01482-WRTV-Stephanie_Ortmann.png.jpg,0.15,0.44,2,7
01483-WRTV-Chris_Proffitt.png.jpg,0.52,0.36,1.29,19
01484-WRTV-Grace_Trahan.png.jpg,0.65,0.46,2.02,30
01485-WSMV-Jennifer_Johnson.png.jpg,0.6376470588,0.5461254613,3.08,35
01486-WSMV-Demetria_Kalodimos.png.jpg,0.8682352941,0.6991869919,5.73,61
01487-WSMV-Tom_Randles.png.jpg,0.5976470588,0.5669291339,2.94,34
01488-WSMV-Lisa_Spencer.png.jpg,0.7011764706,0.6543624161,4.76,46
01489-WTHR-Chuck_Lofton.png.jpg,0.87,0.7,9.11,61
01490-WTHR-Julia_Moffitt.png.jpg,0.74,0.63,4.55,47
01491-WTHR-Chris_Wright.png.jpg,0.89,0.69,6.19,61
01492-WTOL-Chrys_Peterson.png.jpg,0.9247573,0.7165354,8.81,66
01493-WTOL-Emily_Voss.png.jpg,0.5072816,0.4210526,2.15,21
01494-WTOL-Jonathan_Walsh.png.jpg,0.711165,0.5255973,3.21,37
01495-WTVD-Steve_Daniels.png.jpg,0.76,0.66,8.83,50
01496-WTVD-Tisha_Powell.png.jpg,0.78,0.66,9.52,51
01497-WTVD-Frances_Scott.png.jpg,0.71,0.63,10.49,45
01498-WTVF-Ron_Howes.png.jpg,0.8047058824,0.7192982456,6.65,58
01499-WTVF-Rhori_Johnston.png.jpg,0.7341176471,0.6057692308,2.95,44
01500-WTVF-Kristin_Priesol.png.jpg,0.7176470588,0.6262295082,4.15,45
01501-WTVF-Vicki_Yates.png.jpg,0.8094117647,0.5872093023,3.26,48
01502-WTVJ-Keith_Jones.png.jpg,0.413507,0.665836,3.57,28
