,Recall,PositiveRating,PerfRatio,Impact
00802-WFTV-Jamie_Holmes.png.jpg,0.4,0.57,3.46,23
00443-FOX4-Jim_Syoen.png.jpg,0.65,0.62,4.21,40
00818-WGN-Paul_Konrad.png.jpg,0.59,0.71,7.56,42
00858-WINK-Stacey_Adams.png.jpg,0.71,0.65,6.38,46
00859-WINK-Chris_Cifatte.png.jpg,0.72,0.67,5.2,48
00866-WINK-Jim_Farrell.png.jpg,0.84,0.77,8.67,65
00861-WINK-Rob_Spicker.png.jpg,0.48,0.54,3.38,26
00860-WINK-Jennifer_Stacy.png.jpg,0.57,0.51,2.72,29
00857-WINK-Lois_Thome.png.jpg,0.77,0.64,4.91,49
00946-WLS-Judy_Hsu.png.jpg,0.62,0.65,7.65,40
00945-WLS-Jerry_Taft.png.jpg,0.77,0.67,4.96,52
00526-KFSN-Jason_Martinez.png.jpg,0.583635,0.715711,9.12,42
00326-WRAL-David_Crabtree.png.jpg,0.86,0.74,13.19,64
00325-WRAL-Debra_Morgan.png.jpg,0.87,0.75,14.04,65
00324-WRAL-Gerald_Owens.png.jpg,0.9,0.71,14.41,64
00368-WTVD-Steve_Daniels.png.jpg,0.76,0.66,8.83,50
00370-WTVD-Tisha_Powell.png.jpg,0.78,0.66,9.52,51
