,Recall,PositiveRating,PerfRatio,Impact,Asian,Black,White,5_o_Clock_Shadow,Bald,Bangs,Blond_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,Male,Mustache,No_Beard,Sideburns,Wearing_Hat,Wearing_Lipstick,Wearing_Necktie,Young,top,right,bottom,left,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant,NewsID,Market % of US,% Af-Am,% Hispanic,% Asian,Gender_Annotated,Race_Annotated
00001-CSN_Philadelphia-John_Clark.png.jpg,0.7434841578,0.6961565136,7.21,52,-5.7654495984399,-4.77475402515554,3.02619400013971,0.554936295398409,-1.67597669071958,-10.1792975560582,-3.99132615695367,-4.40654111041884,-3.77948068926641,-3.49448315388558,-9.37498196612025,-0.548082056752641,-4.05167416171856,-12.7746841158085,9.08609740025907,-2.41328054659283,-1.39401424123781,0.05192520827314,-5.29273052969436,-11.0565263326346,-2.27155569901496,0.56307971266321,36,262,222,77,-0.241452033430455,0.267208766846326,-0.103798309732738,0.0954010979242,0.411296011997922,0.293766819227689,0.057545199272176,0.029745892075647,-0.022082202588173,-0.010873110311153,-0.044387702515125,0.214036070685328,-0.035308754337876,0.162499111744916,2,2.60%,19.00%,8.27%,4.51%,Male,White
00002-FOX-Julie_Oberlander.png.jpg,0.7633333333,0.519650655,2.09,40,-5.91691771166502,-6.52258932496441,3.91887231177372,-14.314990564074,-14.7242377923437,-2.99427790625543,-1.06018852810195,-10.224785707444,-3.70477801615119,-5.01681903444479,-8.01466341358737,-14.2308903612938,-7.0993530272153,-1.00837959994573,-8.10247612922534,-13.1214056022404,7.73590690182836,-11.9312892750293,-2.04645585337145,0.744096383594467,-10.0343955846582,-2.15328257253,36,262,222,77,-0.100013163726869,-0.226796418739485,0.174695555601412,-0.256949718398541,-0.135616534376717,0.114391939640451,-0.14352051937495,-0.191980381932675,0.002413468403232,-0.047753454448337,0.0182602921055,-0.110841031709543,-0.195698958933847,-0.138462292600625,2,0.09%,2.01%,2.97%,0.77%,Female,White
00003-FOX-Jack_Caudill.png.jpg,0.64,0.5572916667,2.1,36,-3.55873402113673,-3.6943197769253,0.01050504998314,-4.82248763485728,-2.08875000550071,-5.0493862547339,-4.32373421611511,-6.46422440449546,-0.526517228669021,-0.517450174499358,1.05053503749908,-8.65692860091954,-1.29422870110651,-9.34212935355418,6.24751555187728,-8.49372294794816,5.37014672642853,-9.71379216020338,-1.06405358980415,-8.72941992134972,-1.28203008082888,-3.03994155636714,19,266,242,43,0.122582082884022,0.278087229505202,-0.284161660281312,-0.018635025895002,-0.000248110342266,-0.04151600154537,-0.010982404086952,-0.173075341735357,-0.147892221435277,-0.111070937219733,-0.106796538149354,0.125571250790891,0.037978957558984,0.215343634862905,2,0.09%,2.01%,2.97%,0.77%,Male,White
00005-FOX-Lauren_Elise.png.jpg,0.3730964467,0.693877551,5.67,26,-5.11827544989075,-3.50380451802584,0.23246475182401,-13.6080734548746,-14.3306638103332,-1.09828180175352,-6.45027988837263,-5.70617366762693,-2.11820485319042,-3.0820401803315,-10.5275752668002,-12.7785705333714,-9.84516845557674,2.56697579009628,-7.19791164366302,-11.2407380656277,8.73531393932967,-9.81921794850093,-4.59546953808563,4.13624364791627,-12.0564388571837,-1.08987631884993,36,262,222,77,-0.342857230210613,-0.127580320115153,0.190744313285995,-0.230512182830194,0.043555504043423,0.238916982542251,-0.037644297124437,-0.143732333045748,-0.017755151439054,-0.045350739936019,-0.028835475746062,0.00560618148545,-0.184286024975638,-0.052086687730942,2,0.74%,13.66%,4.07%,1.12%,Female,White
00006-FOX-Ben_Hill.png.jpg,0.3401015228,0.5597014925,2.88,19,-6.0705626430941,-6.79229286318391,1.7057865054176,0.465044681918792,-10.36306789521,-6.7936995202471,-7.51400961198623,-3.40014904009739,-5.3894928538477,-4.67170057456913,-10.7046736117557,-4.82888617231196,-9.70472703623945,-9.42603128980837,9.16511993317702,-4.40798111247084,0.578506469143989,-3.60383137083793,-6.92218191107467,-8.04198452602474,-1.58002708300117,3.60152770650528,19,291,242,68,-0.508858864968285,0.398404851039626,-0.069807896099104,0.093059211033592,0.556473317632246,0.447076576881336,0.234898464445157,-0.009479230152623,-0.07529669485546,-0.037112545029346,-0.051266685113589,0.407569694299206,0.024817358232673,0.346289881480245,2,0.74%,13.66%,4.07%,1.12%,Male,White
00008-FOX-Diana_Watson.png.jpg,0.5548686244,0.6573816156,5.76,36,-9.88016728160051,-8.28863844150021,5.5388130128054,-13.8814754445555,-11.7330335581918,0.366866198845162,2.45075832029264,-8.85785143118139,-5.8395548229935,-6.29983708024838,-8.35969656532427,-14.2996443014581,-5.92149088106898,1.50068606169641,-8.80893260234297,-14.7740572013751,8.92558535832382,-11.0068218393588,-5.32900131496272,2.11237918124675,-12.4129909884788,0.241350609067584,19,266,242,43,-0.10024766261534,-0.045500273908977,0.251377029571012,-0.247481222328288,0.098039675839834,0.156998729762985,-0.047814546079118,-0.093013702146885,0.059690088697489,0.002441046694784,0.108490699341812,-0.020236324270254,-0.169955697027266,-0.009068774631558,2,0.74%,13.66%,4.07%,1.12%,Female,White
00009-FOX-Cody_Alcorn.png.jpg,0.4018547141,0.6,3.63,24,-7.44836880991351,-7.9266653382065,3.06091051626652,0.927519494072982,-6.3419776277549,-6.79671189601429,-4.0079130351703,-3.03930171820472,-4.08679660020375,-3.5537441724485,-5.9810947127909,-5.13441557647132,-5.24647055082527,-7.80627283726887,9.47129104278566,-5.69459034680758,1.01501459498028,-4.64252319772327,-5.67943181504249,-6.7328996060987,-0.892004821016555,2.49948225961964,36,262,222,77,-0.339267966499855,-0.096608250071223,0.085453554387866,-0.115486382165801,0.104407893859036,0.132695829438336,0.000786328676833,-0.080933428641378,-0.022321509675969,-0.011537976650689,-0.003665797416843,0.106232822157024,-0.098515407295528,-0.055027243420386,2,0.74%,13.66%,4.07%,1.12%,Male,White
00011-FOX_11-Concetta_Callahan.png.jpg,0.4730034974,0.5542637942,3.36,26,-3.93313322275464,-6.49889865013397,0.402928291528795,-9.30206071722983,-16.5890706723822,-6.47499885288287,-7.56104641865971,-1.66652150594403,-2.62547015644041,-3.30005014150148,-5.899382193088,-15.9969543777636,-9.79445436960766,2.4812145046832,-8.81950512910661,-15.8880025271158,9.74232667519361,-12.8151810966144,-6.56135064810763,4.46525846298554,-8.27603106979121,2.64654414037116,19,266,242,43,-0.252335222173232,-0.154532327947545,0.208295156295239,-0.285982096013469,-0.264498139161203,0.06068507467225,-0.085403152034017,-0.204044364969191,-0.212744536407011,-0.168337908686501,-0.269768685053688,-0.008344424705683,-0.188596316671039,0.009145768873377,2,0.38%,1.07%,2.99%,1.38%,Female,White
00014-FOX_29-Michael_Valdes.png.jpg,0.6095236592,0.5565760038,3.08,34,-1.13006916319882,-6.7009356606077,-0.583163109984758,-4.82639222205851,-5.84535119933276,-10.1680203204311,-8.58911594794562,-0.035944320886543,-2.48984101316596,-1.95168852553599,-3.35092146824016,-10.3744012939635,-4.69442399209263,-7.05395320365061,5.32163571059978,-10.6920130139869,6.28191595407021,-12.1627348309674,-4.55192909251581,-7.40026202577067,-0.41365707703875,-0.921800544324662,19,291,242,68,0.074407159105252,0.113879650954399,-0.260495834862583,-0.061166981699696,-0.088861295132394,-0.086420412418744,-0.088204376837726,-0.046484689658424,-0.195315189759905,-0.062575572370923,-0.157359388677224,0.032316024077864,-0.00564855176377,0.084115428121691,2,0.77%,7.64%,50.72%,2.38%,Male,Hispanic
00015-FOX_29-Cynthia_Lee.png.jpg,0.4827382283,0.6046137846,5.35,29,-4.8867388185773,-5.0440012109256,3.19460765779219,-12.3423892653402,-13.6550950273172,0.278425208085562,2.29624926544947,-8.94225100856175,-8.0988953725418,-7.15332478980502,-9.19535227974564,-17.8866234105745,-5.11062802023303,0.329028523174693,-8.50791984272513,-15.8622128460093,9.70344294892813,-16.8072596060468,-4.75541733354447,1.34814125545673,-11.1823429655967,0.209981960165818,36,262,222,77,0.126831485648985,0.161783444927243,-0.197023673737975,0.148781340877998,0.285512263977339,0.357005408105022,0.160949499970095,0.114636377185803,0.061318350859762,0.035674309991832,0.042601930913846,0.178393288966688,0.067235523193648,0.168203523474144,2,0.77%,7.64%,50.72%,2.38%,Female,White
00017-FOX_31-Jeremy_Hubbard.png.jpg,0.5538461538,0.3777777778,2.06,21,-11.8161416880733,-7.57214501348324,5.7396195628355,-3.01731624728902,-4.14070014310666,-9.80335901828672,-4.43910289076131,-2.36513487789184,-6.29885662208558,-5.67294033115038,-7.50740579539901,-7.81083930425229,-4.32573160224735,-10.3906574619317,8.57347274521544,-9.24389400927132,4.34078218893749,-7.95806616931596,-7.7193785170127,-9.85827000541941,-1.09787254731938,0.419056773198709,36,262,222,77,-0.206926443540845,0.087008050605606,-0.039896956150533,0.03681923482003,0.215758445804137,0.129609025790476,-0.048136593567879,0.00693821801173,-0.035677642614657,-0.026157454546447,-0.035851709565246,0.076852347400683,0.032923402967901,0.037904301674422,2,1.38%,4.38%,15.55%,2.77%,Male,White
00019-FOX_8-Katie_Nordeen.png.jpg,0.5954198473,0.6111111111,4.93,36,-9.34881803652358,-4.68423412584208,5.68784272346899,-10.6157061185821,-12.5990653765798,-4.60694389931513,2.27604240890594,-6.58645799731469,-7.53563670935163,-7.58535001590393,-8.93486029657478,-12.2950707629462,-6.93291439519583,0.7314820061034,-8.46434353253797,-13.4993419296489,7.03112892402012,-9.62624021912824,-8.04058961785457,2.07210704449834,-11.3351238854267,2.79819937796345,19,266,242,43,-0.046347959266331,-0.067700988804655,0.065562503471017,-0.037123126169959,0.116943500789914,0.178102727303232,-0.036925864877468,0.066979199705049,0.16047277610465,0.069345373662574,0.175939975711709,-0.094347287561997,-0.137064317108714,-0.094615979161106,2,0.61%,20.89%,5.84%,1.72%,Female,White
00020-FOX_8-Cindy_Farmer.png.jpg,0.8093220339,0.6910994764,5.08,56,-9.08151677016769,-7.54071320649315,5.93147828999326,-12.7670341930956,-10.6990325714135,-1.86089923386591,3.04993590084863,-6.82154064007397,-4.48479857183327,-4.83720264794328,-9.4181049496644,-14.2543687324861,-2.83126875214721,0.657463194935474,-8.53784049516866,-16.1256768723115,9.79252205168145,-12.86385806355,-5.56845741220344,1.39845227337383,-11.2892916394596,-0.231940176815941,36,262,222,77,0.062339036301572,-0.098325513101503,0.183262464868176,-0.028287947427253,0.21404641154233,0.210027018174053,0.09590466671647,0.080888628888325,0.133946934906101,0.109893795707235,0.182926344327687,0.025589104760678,-0.046176557168963,-0.005448764720251,2,0.61%,20.89%,5.84%,1.72%,Female,White
00021-FOX_8-Brad_Jones.png.jpg,0.7288135593,0.6976744186,4.8,51,-8.22320108192603,-5.83206758410411,4.5667088242411,-3.08609645723175,-2.78954182394072,-10.394352112711,-5.62873226049677,-5.2211386063037,-4.26513363491089,-3.27697957592073,-8.14289627785517,-6.49704866693731,-0.342068137581296,-13.8249394201712,13.2794671990648,-6.953335605531,3.45617295501057,-6.8715248575179,-8.69199186548643,-12.8898657355494,0.66029554413343,-3.07283461263686,19,266,242,43,0.111058751727623,0.056713833447051,-0.320464423955608,0.071959119133947,0.015816773758186,-0.001907612848649,0.0716727935569,0.03744414243962,-0.102047494628907,-0.119424221540443,-0.130977263461203,0.090075374969334,0.147609865214041,0.036226449847913,2,0.61%,20.89%,5.84%,1.72%,Male,White
00022-FOX_8-Kerry_Charles.png.jpg,0.5466101695,0.5503875969,2.54,30,-1.52536536563072,-1.52233439017687,-5.08685069593771,-3.68658935062731,-0.38551762314266,-11.1888596786802,-10.1545142597935,-2.62547806621659,0.018759609232302,-0.511755664721533,-1.01060110459917,-5.11095730887966,-6.80374875537112,-8.59632985779826,6.82811247236845,-3.79129921445016,1.46623467738755,-7.4987786380384,-10.3001212809606,-7.30055235751607,-0.423727869744957,0.920824081972465,36,262,222,77,-0.431773614653345,-0.130299153196264,0.296335103884867,-0.192072660742485,-0.077722676706418,0.181724681057548,-0.034463018437413,-0.127685260008077,-0.012628062632063,0.004985460716926,-0.112215968552683,0.038743356478576,-0.272836756744,-0.087909168641541,2,0.61%,20.89%,5.84%,1.72%,Male,Black
