,Recall,PositiveRating,PerformanceRatio,Impact
,0.743484157825968,0.696156513634317,7.21,52
,0.763333333333333,0.519650655021834,2.09,40
,0.64,0.557291666666667,2.10,36
,0.56,0.464285714285714,1.81,26
,0.373096446700508,0.693877551020408,5.67,26
,0.34010152284264,0.559701492537313,2.88,19
,0.451776649746193,0.657303370786517,7.80,30
,0.554868624420402,0.657381615598886,5.76,36
,0.401854714064915,0.6,3.63,24
,0.562596599690881,0.68956043956044,8.10,39
,0.473003497369558,0.554263794194873,3.36,26
,0.421441304353303,0.431210393767279,1.57,18
,0.675082650474623,0.614186137901148,4.90,41
,0.609523659244665,0.55657600383931,3.08,34
,0.482738228335649,0.604613784575495,5.35,29
,0.367210033932917,0.658113279140615,4.75,24
,0.553846153846154,0.377777777777778,2.06,21
,0.64406779661017,0.75,7.60,48
,0.595419847328244,0.611111111111111,4.93,36
,0.809322033898305,0.691099476439791,5.08,56
,0.728813559322034,0.697674418604651,4.80,51
,0.546610169491525,0.550387596899225,2.54,30
,0.427966101694915,0.495049504950495,2.94,21
,0.819338422391858,0.72360248447205,8.32,59
,0.809178743961353,0.761194029850746,7.97,62
,0.771513353115727,0.669230769230769,7.57,52
,0.673590504451039,0.638766519823789,6.59,43
,0.753846153846154,0.530612244897959,2.95,40
,0.489230769230769,0.484276729559748,2.66,24
,0.399567781806148,0.586240534575844,2.85,23
,0.580924544648381,0.607138163105464,3.27,35
,0.632333543337908,0.476500797833609,1.94,30
,0.685535306385021,0.609435363221384,3.69,42
,0.722355913285993,0.582216374980274,3.50,42
,0.461702314151427,0.621566328000579,5.16,29
,0.751340285371824,0.69752142236069,6.93,52
,0.205389990529608,0.539183003928079,2.33,11
,0.581360875203641,0.491615766194829,2.37,29
,0.337941897159311,0.53309194966121,2.10,18
,0.702949704284285,0.687910011687279,4.79,48
,0.456148996829511,0.516146264714955,3.10,24
,0.394001478892443,0.550608423647098,2.39,22
,0.37000849272987,0.546507391896704,4.07,20
,0.274472037781375,0.488046540155279,1.94,13
,0.423611111111111,0.601092896174863,5.24,25
,0.708333333333333,0.65359477124183,7.69,46
,0.347222222222222,0.62,5.47,22
,0.61965811965812,0.586206896551724,5.00,36
,0.546296296296296,0.516949152542373,3.30,28
,0.766203703703704,0.610271903323263,5.61,47
,0.87037037037037,0.757978723404255,11.88,66
,0.764957264957265,0.720670391061452,7.17,55
,0.886574074074074,0.819843342036554,15.70,73
,0.572649572649573,0.611940298507463,4.56,35
,0.641203703703704,0.606498194945848,4.31,39
,0.423076923076923,0.515151515151515,3.40,22
,0.844907407407407,0.693150684931507,7.91,59
,0.256944444444444,0.585585585585586,4.06,15
,0.673076983325936,0.479288272882997,2.00,32
,0.868048456145207,0.631897508665769,3.45,55
,0.786210794856259,0.665355131328561,4.91,52
,0.751814229505865,0.615690303700929,5.30,46
,0.715529826842368,0.66793832004451,6.18,48
,0.6381554761703,0.766193476844662,12.34,49
,0.74423355125896,0.758235969685151,7.51,56
,0.741392528073536,0.702567526262363,8.53,52
,0.739963049121,0.704972553646717,12.45,52
,0.6439405319711,0.695939263924634,7.32,45
,0.677766921859446,0.660690978773613,7.65,45
,0.450503354191263,0.627093286617625,5.07,28
,0.524462571730229,0.678736389518062,8.67,36
,0.318180995800455,0.603985997957989,11.03,19
,0.373229735266832,0.628435564400242,6.95,23
,0.323442136498516,0.577981651376147,5.73,19
,0.670623145400593,0.566371681415929,4.13,38
,0.623145400593472,0.619047619047619,8.67,39
,0.667655786350148,0.52,4.33,35
,0.401691348248219,0.556315001864037,2.93,22
,0.882284157097663,0.66273362623715,3.94,58
,0.621709213896604,0.676258546255954,3.92,42
,0.381222217852572,0.648019090011099,6.82,25
,0.350931082108529,0.516856436769258,2.59,18
,0.58587786259542,0.674267100977199,5.05,40
,0.648854961832061,0.567647058823529,3.39,37
,0.637404580152672,0.607784431137725,4.83,39
,0.727099236641221,0.561679790026247,3.82,41
,0.481272148105847,0.513620762161352,3.15,25
,0.618461538461539,0.348258706467662,1.59,22
,0.824615384615385,0.544776119402985,4.17,45
,0.744615384615385,0.491735537190083,3.40,37
,0.44017094017094,0.495145631067961,2.13,22
,0.384259259259259,0.548192771084337,6.07,21
,0.666666666666667,0.634615384615385,5.82,42
,0.268518518518519,0.482758620689655,2.07,13
,0.5625,0.469135802469136,2.24,26
,0.157407407407407,0.514705882352941,2.33,8
,0.280092592592593,0.388429752066116,1.68,11
,0.226851851851852,0.479591836734694,2.94,11
,0.886574074074074,0.595300261096606,3.04,53
,0.723333333333333,0.470046082949309,1.79,34
,0.63,0.555555555555556,2.50,35
,0.765578635014837,0.585271317829457,5.59,45
,0.510385756676558,0.575581395348837,3.81,29
,0.593591285188555,0.521026446359387,2.39,31
,0.608662469207616,0.545231911169664,2.89,33
,0.79252029968122,0.576561754672252,4.45,46
,0.315246603766127,0.540624097951355,2.32,17
,0.409389931519971,0.526546639852316,2.70,22
