,Recall,PositiveRating,PerfRatio,Impact
00001-CSN_Philadelphia-John_Clark.png.jpg,0.7434841578,0.6961565136,7.21,52
00003-FOX-Jack_Caudill.png.jpg,0.64,0.5572916667,2.1,36
00004-FOX-Taylor_Nicolaisen.png.jpg,0.56,0.4642857143,1.81,26
00006-FOX-Ben_Hill.png.jpg,0.3401015228,0.5597014925,2.88,19
00009-FOX-Cody_Alcorn.png.jpg,0.4018547141,0.6,3.63,24
00012-FOX_25-Jeff_George.png.jpg,0.4214413044,0.4312103938,1.57,18
00013-FOX_29-Alex_Garcia.png.jpg,0.6750826505,0.6141861379,4.9,41
00014-FOX_29-Michael_Valdes.png.jpg,0.6095236592,0.5565760038,3.08,34
00016-FOX_29-Shaun_Stevens.png.jpg,0.3672100339,0.6581132791,4.75,24
00017-FOX_31-Jeremy_Hubbard.png.jpg,0.5538461538,0.3777777778,2.06,21
00021-FOX_8-Brad_Jones.png.jpg,0.7288135593,0.6976744186,4.8,51
00022-FOX_8-Kerry_Charles.png.jpg,0.5466101695,0.5503875969,2.54,30
00024-FOX_8-Neill_McNeill.png.jpg,0.8193384224,0.7236024845,8.32,59
00025-FOX_8-Van_Denton.png.jpg,0.809178744,0.7611940299,7.97,62
00028-KCNC-Jim_Benemann.png.jpg,0.7538461538,0.5306122449,2.95,40
00030-KENS-Barry_Davis.png.jpg,0.3995677818,0.5862405346,2.85,23
00035-KENS-Jared_Silverman.png.jpg,0.4617023142,0.621566328,5.16,29
00036-KENS-Bill_Taylor.png.jpg,0.7513402854,0.6975214224,6.93,52
00037-KENS-Vinnie_Vinzetta.png.jpg,0.2053899905,0.5391830039,2.33,11
00038-KENS-Mat_Garcia.png.jpg,0.5813608752,0.4916157662,2.37,29
00040-KENS-Paul_Mireles.png.jpg,0.7029497043,0.6879100117,4.79,48
00041-KENS-Jeff_Goldblatt.png.jpg,0.4561489968,0.5161462647,3.1,24
00044-KENS-Phil_Anaya.png.jpg,0.2744720378,0.4880465402,1.94,13
00047-KETV-Kyle_Gravlin.png.jpg,0.3472222222,0.62,5.47,22
00049-KETV-Jeremy_Maskel.png.jpg,0.5462962963,0.5169491525,3.3,28
00051-KETV-Rob_McCartney.png.jpg,0.8703703704,0.7579787234,11.88,66
00052-KETV-John_Oakey.png.jpg,0.764957265,0.7206703911,7.17,55
00053-KETV-Bill_Randby.png.jpg,0.8865740741,0.819843342,15.7,73
00054-KETV-Matt_Serwe.png.jpg,0.5726495726,0.6119402985,4.56,35
00055-KETV-Adrian_Whitsett.png.jpg,0.6412037037,0.6064981949,4.31,39
00058-KETV-David_Earl.png.jpg,0.2569444444,0.5855855856,4.06,15
00060-KFOR-Mike_Morgan.png.jpg,0.8680484561,0.6318975087,3.45,55
00061-KFOR-Kent_Ogle.png.jpg,0.7862107949,0.6653551313,4.91,52
00062-KFOR-Lance_West.png.jpg,0.7518142295,0.6156903037,5.3,46
00064-KFVS-Brian_Alworth.png.jpg,0.6381554762,0.7661934768,12.34,49
00065-KFVS-Jim_Burns.png.jpg,0.7442335513,0.7582359697,7.51,56
00066-KFVS-Jeff_Cunningham.png.jpg,0.7413925281,0.7025675263,8.53,52
00070-KFVS-Grant_Dade.png.jpg,0.4505033542,0.6270932866,5.07,28
00073-KFVS-Bryan_McCormick.png.jpg,0.3732297353,0.6284355644,6.95,23
00079-KGUN-Guy_Atchley.png.jpg,0.8822841571,0.6627336262,3.94,58
00083-KHOU-David_Paul.png.jpg,0.5858778626,0.674267101,5.05,40
00084-KHOU-Len_Cannon.png.jpg,0.6488549618,0.5676470588,3.39,37
00086-KHOU-Greg_Hurst.png.jpg,0.7270992366,0.56167979,3.82,41
00087-KLAS-Cale_Ramaker.png.jpg,0.4812721481,0.5136207622,3.15,25
00088-KMGH-Mitch_Jelniker.png.jpg,0.6184615385,0.3482587065,1.59,22
00090-KMGH-Mike_Landess.png.jpg,0.7446153846,0.4917355372,3.4,37
00093-KMTV-Ryan_McPike.png.jpg,0.6666666667,0.6346153846,5.82,42
00094-KMTV-Matt_Monroe.png.jpg,0.2685185185,0.4827586207,2.07,13
00095-KMTV-Craig_Nigrelli.png.jpg,0.5625,0.4691358025,2.24,26
00096-KMTV-Justin_Pazera.png.jpg,0.1574074074,0.5147058824,2.33,8
00097-KMTV-John_Walsh.png.jpg,0.2800925926,0.3884297521,1.68,11
00099-KMTV-Jim_Flowers.png.jpg,0.8865740741,0.5953002611,3.04,53
00100-KNBN-Shad_Olson.png.jpg,0.7233333333,0.4700460829,1.79,34
00101-KNBN-Bob_Riggio.png.jpg,0.63,0.5555555556,2.5,35
00104-KOCO-Wendell_Edwards.png.jpg,0.5935912852,0.5210264464,2.39,31
00105-KOCO-Paul_Folger.png.jpg,0.6086624692,0.5452319112,2.89,33
00107-KOCO-Dan_Thomas.png.jpg,0.3152466038,0.540624098,2.32,17
00108-KOCO-Brad_Sowder.png.jpg,0.4093899315,0.5265466399,2.7,22
00110-KOCO-Morgan_Chesky.png.jpg,0.3914596159,0.5296479087,2.62,21
00112-KOCO-Damon_Lane.png.jpg,0.5925295736,0.6351188718,5.91,38
00114-KOCO-Jonathan_Conder.png.jpg,0.4186005238,0.4909536889,3.12,21
00118-KOLD-Dan_Marries.png.jpg,0.7270569769,0.6970867945,7.93,51
00120-KOLD-Mark_Stine.png.jpg,0.589514821,0.7020721173,5.91,41
00121-KOLD-Craig_Thomas.png.jpg,0.4037043904,0.5021895132,2.97,20
00123-KOLR_KOZL-Rob_Evans.png.jpg,0.5010222992,0.4835992688,1.91,24
00124-KOLR_KOZL-David_Oliver.png.jpg,0.5940729737,0.5650941392,3.41,34
00125-KOLR_KOZL-Chris_Smith.png.jpg,0.2043883436,0.5658360287,3.96,12
00126-KOLR_KOZL-Jamie_Warriner.png.jpg,0.3236917373,0.5057481134,3.26,16
00127-KOLR_KOZL-Dan_Lucy.png.jpg,0.6144054273,0.5401383533,2.44,33
00131-KOLR_KOZL-Tom_Trtan.png.jpg,0.6979679174,0.627180877,5.03,44
00133-KOTA-Eric_Gardner.png.jpg,0.7466666667,0.4464285714,1.54,33
00136-KOTA-Mike_Modrick.png.jpg,0.8266666667,0.5524193548,2.14,46
