,Recall,PositiveRating,PerfRatio,Impact
00002-FOX-Julie_Oberlander.png.jpg,0.7633333333,0.519650655,2.09,40
00005-FOX-Lauren_Elise.png.jpg,0.3730964467,0.693877551,5.67,26
00007-FOX-Nicole_Papay.png.jpg,0.4517766497,0.6573033708,7.8,30
00008-FOX-Diana_Watson.png.jpg,0.5548686244,0.6573816156,5.76,36
00010-FOX-Kendra_Kent.png.jpg,0.5625965997,0.6895604396,8.1,39
00011-FOX_11-Concetta_Callahan.png.jpg,0.4730034974,0.5542637942,3.36,26
00015-FOX_29-Cynthia_Lee.png.jpg,0.4827382283,0.6046137846,5.35,29
00018-FOX_8-Emily_Byrd.png.jpg,0.6440677966,0.75,7.6,48
00019-FOX_8-Katie_Nordeen.png.jpg,0.5954198473,0.6111111111,4.93,36
00020-FOX_8-Cindy_Farmer.png.jpg,0.8093220339,0.6910994764,5.08,56
00023-FOX_8-Julie_Grant.png.jpg,0.4279661017,0.495049505,2.94,21
00026-FOX2-Julie_Haener.png.jpg,0.7715133531,0.6692307692,7.57,52
00027-FOX2-Gasia_Mikaelian.png.jpg,0.6735905045,0.6387665198,6.59,43
00029-KCNC-Karen_Leigh.png.jpg,0.4892307692,0.4842767296,2.66,24
00031-KENS-Sarah_Forgany.png.jpg,0.5809245446,0.6071381631,3.27,35
00032-KENS-Karen_Grace.png.jpg,0.6323335433,0.4765007978,1.94,30
00033-KENS-Deborah_Knapp.png.jpg,0.6855353064,0.6094353632,3.69,42
00034-KENS-Sarah_Lucero.png.jpg,0.7223559133,0.582216375,3.5,42
00039-KENS-Danielle_Saar.png.jpg,0.3379418972,0.5330919497,2.1,18
00042-KENS-Stacia_Willson.png.jpg,0.3940014789,0.5506084236,2.39,22
00043-KENS-Mayra_Moreno.png.jpg,0.3700084927,0.5465073919,4.07,20
00045-KETV-Amanda_Crawford.png.jpg,0.4236111111,0.6010928962,5.24,25
00046-KETV-Melissa_Fry.png.jpg,0.7083333333,0.6535947712,7.69,46
00048-KETV-Alex_Hoffman.png.jpg,0.6196581197,0.5862068966,5,36
00050-KETV-Holly_McCarthy.png.jpg,0.7662037037,0.6102719033,5.61,47
00056-KETV-Jobeth_Devera.png.jpg,0.4230769231,0.5151515152,3.4,22
00057-KETV-Brandi_Petersen.png.jpg,0.8449074074,0.6931506849,7.91,59
00059-KFOR-Meg_Alexander.png.jpg,0.6730769833,0.4792882729,2,32
00063-KFOR-Ali_Meyer.png.jpg,0.7155298268,0.66793832,6.18,48
00067-KFVS-Mary-Ann_Maloney.png.jpg,0.7399630491,0.7049725536,12.45,52
00068-KFVS-Kathy_Sweeney.png.jpg,0.643940532,0.6959392639,7.32,45
00069-KFVS-Laura_Wibbenmeyer.png.jpg,0.6777669219,0.6606909788,7.65,45
00071-KFVS-Crystal_Britt.png.jpg,0.5244625717,0.6787363895,8.67,36
00072-KFVS-Mollie_Lair.png.jpg,0.3181809958,0.603985998,11.03,19
00074-KGO-Ama_Daetz.png.jpg,0.3234421365,0.5779816514,5.73,19
00075-KGO-Cheryl_Jennings.png.jpg,0.6706231454,0.5663716814,4.13,38
00076-KGO-Carolyn_Johnson.png.jpg,0.6231454006,0.619047619,8.67,39
00077-KGO-Kristen_Sze.png.jpg,0.6676557864,0.52,4.33,35
00078-KGUN-Stella_Inger.png.jpg,0.4016913482,0.5563150019,2.93,22
00080-KGUN-April_Madison.png.jpg,0.6217092139,0.6762585463,3.92,42
00081-KGUN-Corinne_Hautala.png.jpg,0.3812222179,0.64801909,6.82,25
00085-KHOU-Lisa_Hernandez.png.jpg,0.6374045802,0.6077844311,4.83,39
00089-KMGH-Anne_Trujillo.png.jpg,0.8246153846,0.5447761194,4.17,45
00091-KMTV-Deanne_Brink.png.jpg,0.4401709402,0.4951456311,2.13,22
00092-KMTV-Jennifer_Griswold.png.jpg,0.3842592593,0.5481927711,6.07,21
00098-KMTV-Meghan_Matthews.png.jpg,0.2268518519,0.4795918367,2.94,11
00102-KNTV-Jessica_Aguirre.png.jpg,0.765578635,0.5852713178,5.59,45
00103-KNTV-Janelle_Wang.png.jpg,0.5103857567,0.5755813953,3.81,29
00106-KOCO-Jessica_Schambach.png.jpg,0.7925202997,0.5765617547,4.45,46
00109-KOCO-Abigail_Ogle.png.jpg,0.4950752194,0.4605816589,1.65,23
00111-KOCO-Erielle_Reshef.png.jpg,0.3546686936,0.6988488358,7.32,25
00113-KOCO-Danielle_Dozier.png.jpg,0.4319801846,0.5190720484,3.03,22
00115-KOFR-Emily_Sutton.png.jpg,0.8028590825,0.717291253,7.3,58
00116-KOLD-Erin_Jordan.png.jpg,0.7360433393,0.7743170935,14.76,57
00117-KOLD-Teresa_Jun.png.jpg,0.6984821238,0.6390375091,5.92,45
00119-KOLD-Heather_Rowe.png.jpg,0.7830523892,0.6557828644,5.29,51
00122-KOLR_KOZL-Jennifer_Kielman.png.jpg,0.2136860114,0.5139980962,2.75,11
00129-KOLR_KOZL-Shannon_Miller.png.jpg,0.5141519508,0.4813504448,2.24,25
00130-KOLR_KOZL-Lindsey_Day.png.jpg,0.2005451775,0.4868197448,2.26,10
00132-KOTA-Helene_Duhamel.png.jpg,0.8166666667,0.5183673469,1.81,42
00134-KOTA-Alicia_Garcia.png.jpg,0.74,0.536036036,3.22,40
00135-KOTA-Katy_Urban.png.jpg,0.4233333333,0.3385826772,1.1,14
00137-KPIX-Elizabeth_Cook.png.jpg,0.3946587537,0.5488721805,4.56,22
00138-KPIX-Michelle_Griego.png.jpg,0.2848664688,0.5,4.36,14
00140-KPRC-Dominique_Sachse.png.jpg.nodet.jpg,0.8320610687,0.6536697248,4.45,54
00143-KRON4-Pam_Moore.png.jpg,0.7744807122,0.6130268199,5.33,47
00147-KSAT-Leslie_Mouton.png.jpg,0.6656459377,0.7003103566,8,47
00148-KSAT-Ursula_Pari.png.jpg,0.7031082516,0.6558722411,5.67,46
00151-KSAT-Isis_Romero.png.jpg,0.6761071619,0.6063467988,4.43,41
00155-KSAT-Eileen_Gonzales.png.jpg,0.3764165351,0.5553805462,3.88,21
00159-KSNV-Kim_Wagner.png.jpg,0.7978095842,0.4972554272,2.07,40
00164-KSPR-Lauren_Matter.png.jpg,0.2944035874,0.4874255194,2.11,14
00165-KSPR-Leigh_Moody.png.jpg,0.4990534909,0.5289152309,2.46,26
00168-KSPR-Melody_Pettit.png.jpg,0.2157956955,0.4583930593,2.47,10
00171-KSPR-Lindsey_Slater.png.jpg,0.2341758257,0.5133897266,2.99,12
00173-KTNV-Beth_Fisher.png.jpg,0.5215985824,0.536740665,4.02,28
00174-KTNV-Jessica_Janner.png.jpg,0.3973825735,0.5874306156,5.87,23
00179-KTRK-Ilona_Carson.png.jpg,0.6812977099,0.6218487395,3.89,42
00181-KTRK-Gina_Gaston.png.jpg,0.7919847328,0.6,4.15,48
00182-KTRK-Melanie_Lawson.png.jpg,0.7767175573,0.6191646192,4.34,48
00190-KVOA-Danielle_Lerner.png.jpg,0.4970578149,0.5732222864,3.74,28
00191-KVOA-Kristi_Tedesco.png.jpg,0.8021780494,0.6024481076,4.3,48
00193-KVOA-Allison_Alexander.png.jpg,0.3467981801,0.5434509345,2.86,19
00195-KVVU-Sherry_Swensk.png.jpg,0.7674048365,0.6563271364,6.76,50
00196-KVVU-Stefanie_Jay.png.jpg,0.6596104298,0.6073320109,3.63,40
00198-KVVU-Kirsten_Joyce.png.jpg,0.4671523002,0.5574856549,4.95,26
00199-KVVU-Cassandra_Jones.png.jpg,0.5014861836,0.6320939292,5.1,32
00200-KWTV-Bobbie_Miller.png.jpg,0.5530823759,0.545761356,3.13,30
00204-KWTV-Amanda_Taylor.png.jpg,0.7541544928,0.6408651862,5.43,48
00206-KY3-Abby_Dyer.png.jpg,0.62087829,0.712518198,9.06,44
00208-KY3-Sara_Forhetz.png.jpg,0.7067407116,0.6919979644,6.62,49
