,Recall,PositiveRating,PerfRatio,Impact
00001-CSN_Philadelphia-John_Clark.png.jpg,0.7434841578,0.6961565136,7.21,52
00002-FOX-Julie_Oberlander.png.jpg,0.7633333333,0.519650655,2.09,40
00003-FOX-Jack_Caudill.png.jpg,0.64,0.5572916667,2.1,36
00004-FOX-Taylor_Nicolaisen.png.jpg,0.56,0.4642857143,1.81,26
00005-FOX-Lauren_Elise.png.jpg,0.3730964467,0.693877551,5.67,26
00006-FOX-Ben_Hill.png.jpg,0.3401015228,0.5597014925,2.88,19
00007-FOX-Nicole_Papay.png.jpg,0.4517766497,0.6573033708,7.8,30
00008-FOX-Diana_Watson.png.jpg,0.5548686244,0.6573816156,5.76,36
00009-FOX-Cody_Alcorn.png.jpg,0.4018547141,0.6,3.63,24
00010-FOX-Kendra_Kent.png.jpg,0.5625965997,0.6895604396,8.1,39
00011-FOX_11-Concetta_Callahan.png.jpg,0.4730034974,0.5542637942,3.36,26
00012-FOX_25-Jeff_George.png.jpg,0.4214413044,0.4312103938,1.57,18
00013-FOX_29-Alex_Garcia.png.jpg,0.6750826505,0.6141861379,4.9,41
00014-FOX_29-Michael_Valdes.png.jpg,0.6095236592,0.5565760038,3.08,34
00015-FOX_29-Cynthia_Lee.png.jpg,0.4827382283,0.6046137846,5.35,29
00016-FOX_29-Shaun_Stevens.png.jpg,0.3672100339,0.6581132791,4.75,24
00017-FOX_31-Jeremy_Hubbard.png.jpg,0.5538461538,0.3777777778,2.06,21
00018-FOX_8-Emily_Byrd.png.jpg,0.6440677966,0.75,7.6,48
00019-FOX_8-Katie_Nordeen.png.jpg,0.5954198473,0.6111111111,4.93,36
00020-FOX_8-Cindy_Farmer.png.jpg,0.8093220339,0.6910994764,5.08,56
00021-FOX_8-Brad_Jones.png.jpg,0.7288135593,0.6976744186,4.8,51
00022-FOX_8-Kerry_Charles.png.jpg,0.5466101695,0.5503875969,2.54,30
00023-FOX_8-Julie_Grant.png.jpg,0.4279661017,0.495049505,2.94,21
00024-FOX_8-Neill_McNeill.png.jpg,0.8193384224,0.7236024845,8.32,59
00025-FOX_8-Van_Denton.png.jpg,0.809178744,0.7611940299,7.97,62
00026-FOX2-Julie_Haener.png.jpg,0.7715133531,0.6692307692,7.57,52
00027-FOX2-Gasia_Mikaelian.png.jpg,0.6735905045,0.6387665198,6.59,43
00028-KCNC-Jim_Benemann.png.jpg,0.7538461538,0.5306122449,2.95,40
00029-KCNC-Karen_Leigh.png.jpg,0.4892307692,0.4842767296,2.66,24
00030-KENS-Barry_Davis.png.jpg,0.3995677818,0.5862405346,2.85,23
00031-KENS-Sarah_Forgany.png.jpg,0.5809245446,0.6071381631,3.27,35
00032-KENS-Karen_Grace.png.jpg,0.6323335433,0.4765007978,1.94,30
00033-KENS-Deborah_Knapp.png.jpg,0.6855353064,0.6094353632,3.69,42
00034-KENS-Sarah_Lucero.png.jpg,0.7223559133,0.582216375,3.5,42
00035-KENS-Jared_Silverman.png.jpg,0.4617023142,0.621566328,5.16,29
00036-KENS-Bill_Taylor.png.jpg,0.7513402854,0.6975214224,6.93,52
00037-KENS-Vinnie_Vinzetta.png.jpg,0.2053899905,0.5391830039,2.33,11
00038-KENS-Mat_Garcia.png.jpg,0.5813608752,0.4916157662,2.37,29
00039-KENS-Danielle_Saar.png.jpg,0.3379418972,0.5330919497,2.1,18
00040-KENS-Paul_Mireles.png.jpg,0.7029497043,0.6879100117,4.79,48
00041-KENS-Jeff_Goldblatt.png.jpg,0.4561489968,0.5161462647,3.1,24
00042-KENS-Stacia_Willson.png.jpg,0.3940014789,0.5506084236,2.39,22
00043-KENS-Mayra_Moreno.png.jpg,0.3700084927,0.5465073919,4.07,20
00044-KENS-Phil_Anaya.png.jpg,0.2744720378,0.4880465402,1.94,13
00045-KETV-Amanda_Crawford.png.jpg,0.4236111111,0.6010928962,5.24,25
00046-KETV-Melissa_Fry.png.jpg,0.7083333333,0.6535947712,7.69,46
00047-KETV-Kyle_Gravlin.png.jpg,0.3472222222,0.62,5.47,22
00048-KETV-Alex_Hoffman.png.jpg,0.6196581197,0.5862068966,5,36
00049-KETV-Jeremy_Maskel.png.jpg,0.5462962963,0.5169491525,3.3,28
00050-KETV-Holly_McCarthy.png.jpg,0.7662037037,0.6102719033,5.61,47
00051-KETV-Rob_McCartney.png.jpg,0.8703703704,0.7579787234,11.88,66
00052-KETV-John_Oakey.png.jpg,0.764957265,0.7206703911,7.17,55
00053-KETV-Bill_Randby.png.jpg,0.8865740741,0.819843342,15.7,73
00054-KETV-Matt_Serwe.png.jpg,0.5726495726,0.6119402985,4.56,35
00055-KETV-Adrian_Whitsett.png.jpg,0.6412037037,0.6064981949,4.31,39
00056-KETV-Jobeth_Devera.png.jpg,0.4230769231,0.5151515152,3.4,22
00057-KETV-Brandi_Petersen.png.jpg,0.8449074074,0.6931506849,7.91,59
00058-KETV-David_Earl.png.jpg,0.2569444444,0.5855855856,4.06,15
00059-KFOR-Meg_Alexander.png.jpg,0.6730769833,0.4792882729,2,32
00060-KFOR-Mike_Morgan.png.jpg,0.8680484561,0.6318975087,3.45,55
00061-KFOR-Kent_Ogle.png.jpg,0.7862107949,0.6653551313,4.91,52
00062-KFOR-Lance_West.png.jpg,0.7518142295,0.6156903037,5.3,46
00063-KFOR-Ali_Meyer.png.jpg,0.7155298268,0.66793832,6.18,48
00064-KFVS-Brian_Alworth.png.jpg,0.6381554762,0.7661934768,12.34,49
00065-KFVS-Jim_Burns.png.jpg,0.7442335513,0.7582359697,7.51,56
00066-KFVS-Jeff_Cunningham.png.jpg,0.7413925281,0.7025675263,8.53,52
00067-KFVS-Mary-Ann_Maloney.png.jpg,0.7399630491,0.7049725536,12.45,52
00068-KFVS-Kathy_Sweeney.png.jpg,0.643940532,0.6959392639,7.32,45
00069-KFVS-Laura_Wibbenmeyer.png.jpg,0.6777669219,0.6606909788,7.65,45
00070-KFVS-Grant_Dade.png.jpg,0.4505033542,0.6270932866,5.07,28
00071-KFVS-Crystal_Britt.png.jpg,0.5244625717,0.6787363895,8.67,36
00072-KFVS-Mollie_Lair.png.jpg,0.3181809958,0.603985998,11.03,19
00073-KFVS-Bryan_McCormick.png.jpg,0.3732297353,0.6284355644,6.95,23
00074-KGO-Ama_Daetz.png.jpg,0.3234421365,0.5779816514,5.73,19
00075-KGO-Cheryl_Jennings.png.jpg,0.6706231454,0.5663716814,4.13,38
